SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
34148882;"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA - SICOOB CENTRAL BA";"RUA ALCEU AMOROSO LIMA  N  470";"ED  EMPRESARIAL NIEMEYER  10  ANDAR";"CAMINHO DAS ARVORES";"41820770";"SALVADOR";"BA";"Brasil";-;-;"https://www.sicoob-ba.com.br";
33416108;"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS, DISTRITO FEDERAL E TOCANTINS LTDA. - SICOOB NOVA CENTRAL";"RUA 15 1250";-;"SETOR MARISTA";"74150020";"GOIANIA";"GO";"Brasil";-;-;"https://www.sicoob.com.br/web/sicoobnovacentral";
25683434;"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS";"AVENIDA DEL REY  111";"CONDOMINIO COMERCIAL CAICARA  TORRE B  7  ANDAR";"CAPARAO";"30775240";"BELO HORIZONTE";"MG";"Brasil";-;-;"https://www.sicoobcrediminas.com.br/";
80160260;"COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS";"RUA TENENTE SILVEIRA  94";"ANDARES 2   3   4   5   6   7  E 8";"CENTRO";"88010300";"FLORIANOPOLIS";"SC";"Brasil";-;-;"https://www.sicoobsc.com.br";
63917579;"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO";"AVENIDA PROFESSOR JOAO FIUSA  2604";-;"JARDIM CANADA";"14024260";"RIBEIRAO PRETO";"SP";"Brasil";-;-;"https://www.sicoob.com.br/web/sicoobcentralsp";
3502131;"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE";"AV NACOES UNIDAS 555";-;"N S  DAS GRACAS";"76804175";"PORTO VELHO";"RO";"Brasil";-;-;"https://www.sicoobnorte.com.br";
7202627;"COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL";"RUA ACHILES TOMAZELLI  1310E";"PREDIO";"SANTA MARIA";"89812143";"CHAPECO";"SC";"Brasil";-;-;"https://www.cresolcentral.com.br";
21198087;"COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER";"RUA DOUTOR BOZANO";"272";"PETROPOLIS";"99051370";"PASSO FUNDO";"RS";"Brasil";-;-;"https://www.cresolsicoper.com.br";
543968;"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO";"RUA CRISTOVAO NUNES PIRES 50 TORRE NORDEN";"LJ 05  SALAS 402 403 508 509 510 E 511";"CENTRO";"88010120";"FLORIANOPOLIS";"SC";"Brasil";-;-;"https://www.unicred.com.br/centralscpr/";
1634601;"COOPERATIVA CENTRAL DE CRÉDITO UNICRED GERAÇÃO LTDA. - UNICRED CENTRAL GERAÇÃO";"AVENIDA PRAIA DE BELAS  1212";"TORRE NORTE  8  ANDAR";"PRAIA DE BELAS";"90110000";"PORTO ALEGRE";"RS";"Brasil";-;-;"https://www.unicred-rs.com.br";
